ID,AlbumID,Album,Song,Disc,TrackNumber,Year,Yeahs,Minutes,Seconds,LengthInSeconds,YeahsPerSecond,IsGold,IsPlatinum,JamesHetfield,LarsUlrich,KirkHammett,CliffBurton,DaveMustaine,JasonNewstead,RobertTrujillo,LouReed,PlayedLive
44,5,Metallica,Of Wolf And Man,1,9,1991,0,4,16,256,0,0,0,1,1,1,0,0,0,0,0,254
45,5,Metallica,The God That Failed,1,10,1991,0,5,8,308,0,0,0,1,1,0,0,0,0,0,0,88
46,5,Metallica,My Friend Of Misery,1,11,1991,0,6,49,409,0,0,0,1,1,0,0,0,1,0,0,18
47,5,Metallica,The Struggle Within,1,12,1991,0,3,53,233,0,0,0,1,1,0,0,0,0,0,0,17
48,6,Load,Ain't My Bitch,1,1,1996,0,5,4,304,0,0,0,1,1,0,0,0,0,0,0,175
49,6,Load,2 X 4,1,2,1996,4,5,28,328,0.012195122,0,0,1,1,1,0,0,0,0,0,10
50,6,Load,The House That Jack,1,3,1996,2,6,38,398,0.005025126,0,0,1,1,1,0,0,0,0,0,0
51,6,Load,Until It Sleeps,1,4,1996,2,4,29,269,0.007434944,1,0,1,1,0,0,0,0,0,0,243
52,6,Load,King Nothing,1,5,1996,0,5,28,328,0,0,0,1,1,1,0,0,0,0,0,358
53,6,Load,Hero Of The Day,1,6,1996,0,4,24,264,0,1,0,1,1,1,0,0,0,0,0,72
54,6,Load,Bleeding Me,1,7,1996,5,8,18,498,0.010040161,0,0,1,1,1,0,0,0,0,0,160
55,6,Load,Cure,1,8,1996,12,4,54,294,0.040816327,0,0,1,1,0,0,0,0,0,0,0
56,6,Load,Poor Twisted Me,1,9,1996,3,4,0,240,0.0125,0,0,1,1,0,0,0,0,0,0,4
57,6,Load,Wasting My Hate,1,10,1996,2,3,57,237,0.008438819,0,0,1,1,1,0,0,0,0,0,100
58,6,Load,Mama Said,1,11,1996,1,5,19,319,0.003134796,0,0,1,1,0,0,0,0,0,0,2
59,6,Load,Thorn Within,1,12,1996,0,5,51,351,0,0,0,1,1,1,0,0,0,0,0,0
60,6,Load,Ronnie,1,13,1996,5,5,17,317,0.015772871,0,0,1,1,0,0,0,0,0,0,0
61,6,Load,The Outlaw Torn,1,14,1996,1,9,48,588,0.00170068,0,0,1,1,0,0,0,0,0,0,13
62,7,Reload,Fuel,1,1,1997,5,4,29,269,0.018587361,0,0,1,1,1,0,0,0,0,0,488
63,7,Reload,The Memory Remains,1,2,1997,4,4,39,279,0.014336918,1,0,1,1,0,0,0,0,0,0,253
64,7,Reload,Devil's Dance,1,3,1997,5,5,18,318,0.01572327,0,0,1,1,0,0,0,0,0,0,44
65,7,Reload,The Unforgiven II,1,4,1997,2,6,36,396,0.005050505,0,0,1,1,1,0,0,0,0,0,6
66,7,Reload,Better Than You,1,5,1997,2,5,21,321,0.00623053,0,0,1,1,0,0,0,0,0,0,0
67,7,Reload,Slither,1,6,1997,3,5,13,313,0.009584665,0,0,1,1,1,0,0,0,0,0,0
68,7,Reload,Carpe Diem Baby,1,7,1997,2,6,12,372,0.005376344,0,0,1,1,1,0,0,0,0,0,4
69,7,Reload,Bad Seed,1,8,1997,10,4,5,245,0.040816327,0,0,1,1,1,0,0,0,0,0,0
70,7,Reload,Where The Wild Things Are,1,9,1997,2,6,54,414,0.004830918,0,0,1,1,0,0,0,1,0,0,0
71,7,Reload,Prince Charming,1,10,1997,4,6,5,365,0.010958904,0,0,1,1,0,0,0,0,0,0,0
72,7,Reload,Low Man's Lyric,1,11,1997,1,7,37,457,0.002188184,0,0,1,1,0,0,0,0,0,0,65
73,7,Reload,Attitude,1,12,1997,1,5,16,316,0.003164557,0,0,1,1,0,0,0,0,0,0,0
74,7,Reload,Fixxxer,1,13,1997,2,8,15,495,0.004040404,0,0,1,1,1,0,0,0,0,0,0
75,8,Garage Inc. ,Free Speech For The Dumb,1,1,1998,0,2,35,155,0,0,0,0,0,0,0,0,0,0,0,0
76,8,Garage Inc. ,It's Electric,1,2,1998,12,3,33,213,0.056338028,0,0,0,0,0,0,0,0,0,0,1
77,8,Garage Inc. ,Sabbra Cadabra,1,3,1998,5,6,20,380,0.013157895,0,0,0,0,0,0,0,0,0,0,6
78,8,Garage Inc. ,Turn The Page,1,4,1998,7,6,6,366,0.019125683,0,0,0,0,0,0,0,0,0,0,91
79,8,Garage Inc. ,"Die, Die My Darling",1,5,1998,2,2,29,149,0.013422819,0,0,0,0,0,0,0,0,0,0,118
80,8,Garage Inc. ,Loverman,1,6,1998,9,7,52,472,0.019067797,0,0,0,0,0,0,0,0,0,0,0
81,8,Garage Inc. ,Mercyful Fate,1,7,1998,22,11,11,671,0.032786885,0,0,0,0,0,0,0,0,0,0,8
82,8,Garage Inc. ,Astronomy,1,8,1998,2,6,37,397,0.005037783,0,0,0,0,0,0,0,0,0,0,0
83,8,Garage Inc. ,Whiskey In The Jar,1,9,1998,7,5,4,304,0.023026316,0,0,0,0,0,0,0,0,0,0,73
84,8,Garage Inc. ,Tuesday's Gone,1,10,1998,5,9,5,545,0.009174312,0,0,0,0,0,0,0,0,0,0,5
85,8,Garage Inc. ,The More I See,1,11,1998,4,4,48,288,0.013888889,0,0,0,0,0,0,0,0,0,0,0
86,8,Garage Inc. ,Helpless,2,1,1987,1,6,38,398,0.002512563,0,0,0,0,0,0,0,0,0,0,64
87,8,Garage Inc. ,The Small Hours,2,2,1987,0,6,43,403,0,0,0,0,0,0,0,0,0,0,0,7
88,8,Garage Inc. ,The Wait,2,3,1987,0,4,55,295,0,0,0,0,0,0,0,0,0,0,0,24
89,8,Garage Inc. ,Crash Course In Brain Surgery,2,4,1987,5,3,10,190,0.026315789,0,0,0,0,0,0,0,0,0,0,1
90,8,Garage Inc. ,Last Caress/Green Hell,2,5,1987,0,3,29,209,0,0,0,0,0,0,0,0,0,0,0,11
91,8,Garage Inc. ,Am I Evil? ,2,6,1984,0,7,50,470,0,0,0,0,0,0,0,0,0,0,0,746
92,8,Garage Inc. ,Blitzkrieg,2,7,1984,0,3,36,216,0,0,0,0,0,0,0,0,0,0,0,83
93,8,Garage Inc. ,Breadfan,2,8,1988,1,5,41,341,0.002932551,0,0,0,0,0,0,0,0,0,0,317
94,8,Garage Inc. ,The Prince,2,9,1988,0,4,25,265,0,0,0,0,0,0,0,0,0,0,0,33
95,8,Garage Inc. ,Stone Cold Crazy,2,10,1991,0,2,17,137,0,0,0,0,0,0,0,0,0,0,0,153
96,8,Garage Inc. ,So What,2,11,1991,0,3,8,188,0,0,0,0,0,0,0,0,0,0,0,307
97,8,Garage Inc. ,Killing Time,2,12,1998,0,3,3,183,0,0,0,0,0,0,0,0,0,0,0,18
98,8,Garage Inc. ,Overkill,2,13,1995,0,4,4,244,0,0,0,0,0,0,0,0,0,0,0,65
99,8,Garage Inc. ,Damage Case,2,14,1995,0,3,40,220,0,0,0,0,0,0,0,0,0,0,0,3
100,8,Garage Inc. ,Stone Dead Forever,2,15,1995,0,4,51,291,0,0,0,0,0,0,0,0,0,0,0,2
101,8,Garage Inc. ,Too Late Too Late,2,16,1995,0,3,12,192,0,0,0,0,0,0,0,0,0,0,0,7
102,9,St. Anger,Frantic,1,1,2003,1,5,50,350,0.002857143,0,0,1,1,1,0,0,0,0,0,180
103,9,St. Anger,St. Anger,1,2,2003,0,7,21,441,0,0,0,1,1,1,0,0,0,0,0,173
104,9,St. Anger,Some Kind Of Monster,1,3,2003,8,8,25,505,0.015841584,0,0,1,1,1,0,0,0,0,0,3
105,9,St. Anger,Dirty Window,1,4,2003,1,5,24,324,0.00308642,0,0,1,1,1,0,0,0,0,0,31
106,9,St. Anger,Invisible Kid,1,5,2003,1,8,30,510,0.001960784,0,0,1,1,1,0,0,0,0,0,0
107,9,St. Anger,My World,1,6,2003,0,5,45,345,0,0,0,1,1,1,0,0,0,0,0,0
108,9,St. Anger,Shoot Me Again,1,7,2003,1,7,10,430,0.002325581,0,0,1,1,1,0,0,0,0,0,0
109,9,St. Anger,Sweet Amber,1,8,2003,0,5,27,327,0,0,0,1,1,1,0,0,0,0,0,1
110,9,St. Anger,The Unnamed Feeling,1,9,2003,7,7,7,427,0.016393443,0,0,1,1,1,0,0,0,0,0,17
111,9,St. Anger,Purify,1,10,2003,0,5,13,313,0,0,0,1,1,1,0,0,0,0,0,0
112,9,St. Anger,All Within My Hands,1,11,2003,1,8,45,525,0.001904762,0,0,1,1,1,0,0,0,0,0,2
113,10,Death Magnetic,That Was Just Your Life,1,1,2008,0,7,8,428,0,0,0,1,1,1,0,0,0,1,0,170
114,10,Death Magnetic,The End Of The Line,1,2,2008,2,7,52,472,0.004237288,0,0,1,1,1,0,0,0,1,0,149
115,10,Death Magnetic,"Broken, Beat & Scarred",1,3,2008,0,6,25,385,0,0,0,1,1,1,0,0,0,1,0,156
116,10,Death Magnetic,The Day That Never Comes,1,4,2008,0,7,56,476,0,1,0,1,1,1,0,0,0,1,0,170
117,10,Death Magnetic,All Nightmare Long,1,5,2008,3,7,57,477,0.006289308,0,0,1,1,1,0,0,0,1,0,103
118,10,Death Magnetic,Cyanide,1,6,2008,0,6,39,399,0,0,0,1,1,1,0,0,0,1,0,184
119,10,Death Magnetic,The Unforgiven III,1,7,2008,0,7,46,466,0,0,0,1,1,1,0,0,0,1,0,7
120,10,Death Magnetic,The Judas Kiss,1,8,2008,0,8,0,480,0,0,0,1,1,1,0,0,0,1,0,30
121,10,Death Magnetic,Suicide & Redemption,1,9,2008,0,9,57,597,0,0,0,1,1,1,0,0,0,1,0,2
122,10,Death Magnetic,My Apocalypse,1,10,2008,0,5,1,301,0,0,0,1,1,1,0,0,0,1,0,37
123,11,Lulu,Brandenburg Gate,1,1,2011,2,4,19,259,0.007722008,0,0,1,1,1,0,0,0,1,1,0
124,11,Lulu,The View,1,2,2011,0,5,17,317,0,0,0,1,1,1,0,0,0,1,1,4
125,11,Lulu,Pumping Blood,1,3,2011,0,7,24,444,0,0,0,1,1,1,0,0,0,1,1,0
126,11,Lulu,Mistress Dread,1,4,2011,0,6,51,411,0,0,0,1,1,1,0,0,0,1,1,1
127,11,Lulu,Iced Honey,1,5,2011,0,4,35,275,0,0,0,1,1,1,0,0,0,1,1,4
128,11,Lulu,Cheat On Me,1,6,2011,0,11,26,686,0,0,0,1,1,1,0,0,0,1,1,0
129,11,Lulu,Frustration,2,7,2011,0,8,33,513,0,0,0,1,1,1,0,0,0,1,1,0
130,11,Lulu,Little Dog,2,8,2011,0,8,1,481,0,0,0,1,1,1,0,0,0,1,1,0
131,11,Lulu,Dragon,2,9,2011,0,11,8,668,0,0,0,1,1,1,0,0,0,1,1,1
132,11,Lulu,Junior Dad,2,10,2011,0,19,28,1168,0,0,0,1,1,1,0,0,0,1,1,1
133,12,Beyond Magnetic,Hate Train,1,1,2011,1,6,59,419,0.002386635,0,0,1,1,1,0,0,0,1,0,1
134,12,Beyond Magnetic,Just A Bullet Away,1,2,2011,0,7,11,431,0,0,0,1,1,1,0,0,0,1,0,1
135,12,Beyond Magnetic,Hell and back,1,3,2011,4,6,57,417,0.009592326,0,0,1,1,1,0,0,0,1,0,16
136,12,Beyond Magnetic,Rebel Of Babylon,1,4,2011,0,8,2,482,0,0,0,1,1,1,0,0,0,1,0,1
